
                                                    
         »—’ќƒЌџ… ѕ–ќ‘»Ћ№ ƒќ–ќ∆ »  ј„≈Ќ»я           
                                                    
 -------------------------------------------------- 
 | є отсчета  | ”гол в градусах   |  –адиус в мм  | 
                    +   0.00000714 * cos( 2*pi/256 * k * 45 ) -   0.00000110 * sin( 2*pi/256 * k * 45 ) 
                    -   0.00000222 * cos( 2*pi/256 * k * 46 ) +   0.00000149 * sin( 2*pi/256 * k * 46 ) 
                    +   0.00000106 * cos( 2*pi/256 * k * 47 ) -   0.00000084 * sin( 2*pi/256 * k * 47 ) 
                    +   0.00000268 * cos( 2*pi/256 * k * 48 ) +   0.00000379 * sin( 2*pi/256 * k * 48 ) 
                    +   0.00000064 * cos( 2*pi/256 * k * 49 ) +   0.00000341 * sin( 2*pi/256 * k * 49 ) 
                    -   0.00000287 * cos( 2*pi/256 * k * 50 ) +   0.00000301 * sin( 2*pi/256 * k * 50 ) 
                    +   0.00000241 * cos( 2*pi/256 * k * 51 ) -   0.00000214 * sin( 2*pi/256 * k * 51 ) 
                    -   0.00000686 * cos( 2*pi/256 * k * 52 ) -   0.00000151 * sin( 2*pi/256 * k * 52 ) 
                    -   0.00000368 * cos( 2*pi/256 * k * 53 ) -   0.00000194 * sin( 2*pi/256 * k * 53 ) 
                    +   0.00000253 * cos( 2*pi/256 * k * 54 ) +   0.00000048 * sin( 2*pi/256 * k * 54 ) 
                    +   0.00000373 * cos( 2*pi/256 * k * 55 ) +   0.00000150 * sin( 2*pi/256 * k * 55 ) 
                    -   0.00000090 * cos( 2*pi/256 * k * 56 ) +   0.00000548 * sin( 2*pi/256 * k * 56 ) 
                    +   0.00000467 * cos( 2*pi/256 * k * 57 ) +   0.00000060 * sin( 2*pi/256 * k * 57 ) 
                    -   0.00000043 * cos( 2*pi/256 * k * 58 ) +   0.00000177 * sin( 2*pi/256 * k * 58 ) 
                    +   0.00000042 * cos( 2*pi/256 * k * 59 ) +   0.00000013 * sin( 2*pi/256 * k * 59 ) 
                    +   0.00000194 * cos( 2*pi/256 * k * 60 ) +   0.00000026 * sin( 2*pi/256 * k * 60 ) 
                    +   0.00000492 * cos( 2*pi/256 * k * 61 ) -   0.00000565 * sin( 2*pi/256 * k * 61 ) 
                    -   0.00000223 * cos( 2*pi/256 * k * 62 ) +   0.00000259 * sin( 2*pi/256 * k * 62 ) 
                    +   0.00000381 * cos( 2*pi/256 * k * 63 ) -   0.00000176 * sin( 2*pi/256 * k * 63 ) 
                    +   0.00000156 * cos( 2*pi/256 * k * 64 ) +  -0.00000000 * sin( 2*pi/256 * k * 64 ) 
                    +   0.00000111 * cos( 2*pi/256 * k * 65 ) -   0.00000125 * sin( 2*pi/256 * k * 65 ) 
                    +   0.00000423 * cos( 2*pi/256 * k * 66 ) -   0.00000431 * sin( 2*pi/256 * k * 66 ) 
                    +   0.00000281 * cos( 2*pi/256 * k * 67 ) -   0.00000349 * sin( 2*pi/256 * k * 67 ) 
                    +   0.00000389 * cos( 2*pi/256 * k * 68 ) -   0.00000467 * sin( 2*pi/256 * k * 68 ) 
                    +   0.00000113 * cos( 2*pi/256 * k * 69 ) +   0.00000427 * sin( 2*pi/256 * k * 69 ) 
                    -   0.00000089 * cos( 2*pi/256 * k * 70 ) -   0.00000173 * sin( 2*pi/256 * k * 70 ) 
                    -   0.00000000 * cos( 2*pi/256 * k * 71 ) +   0.00000542 * sin( 2*pi/256 * k * 71 ) 
                    -   0.00000140 * cos( 2*pi/256 * k * 72 ) -   0.00000179 * sin( 2*pi/256 * k * 72 ) 
                    +   0.00000049 * cos( 2*pi/256 * k * 73 ) -   0.00000457 * sin( 2*pi/256 * k * 73 ) 
                    -   0.00000066 * cos( 2*pi/256 * k * 74 ) -   0.00000085 * sin( 2*pi/256 * k * 74 ) 
                    +   0.00000011 * cos( 2*pi/256 * k * 75 ) -   0.00000163 * sin( 2*pi/256 * k * 75 ) 
                    +   0.00000052 * cos( 2*pi/256 * k * 76 ) +   0.00000090 * sin( 2*pi/256 * k * 76 ) 
                    -   0.00000077 * cos( 2*pi/256 * k * 77 ) +   0.00000046 * sin( 2*pi/256 * k * 77 ) 
                    +   0.00000049 * cos( 2*pi/256 * k * 78 ) -   0.00000245 * sin( 2*pi/256 * k * 78 ) 
                    +   0.00000028 * cos( 2*pi/256 * k * 79 ) -   0.00000319 * sin( 2*pi/256 * k * 79 ) 
                    -   0.00000020 * cos( 2*pi/256 * k * 80 ) -   0.00000090 * sin( 2*pi/256 * k * 80 ) 
                    +   0.00000013 * cos( 2*pi/256 * k * 81 ) +   0.00000175 * sin( 2*pi/256 * k * 81 ) 
